0.0338,0.0453,0.0274,0.037,0.0245,0.0191,0.0243,0.0308,0.0269,0.0222,0.02913
0.1137,0.313,0.0288,0.0643,0.0682,0.0658,0.039,0.2865,0.0293,0.0268,0.10354
0.2475,0.516,0.5077,0.56,0.5044,0.6824,0.5437,0.5234,0.0412,0.3234,0.44497
0.4422,1.0869,1.2925,0.6983,0.8093,0.8841,0.505,1.0976,0.3491,1.1692,0.83342
0.642,1.6511,1.92,1.0464,0.9532,0.7652,0.5736,1.5706,0.4599,1.1949,1.07769
0.4701,1.6284,2.2578,1.008,1.8302,0.524,1.1585,1.6869,0.7278,1.0481,1.23398
0.8171,2.408,2.102,2.0896,1.689,0.8058,1.5902,1.845,0.9478,1.228,1.55225
0.9653,2.0302,2.163,1.7661,1.7714,0.8658,1.9864,1.9723,0.8881,1.1744,1.5583
1.0121,2.3096,2.19,1.6636,1.9866,0.7009,2.5361,2.0518,0.8932,0.9919,1.63358
0.9593,2.3153,2.0651,1.6634,1.6355,0.7192,1.3582,2.7431,1.4008,0.9961,1.5856
