0.0264,0.0454,0.0194,0.0232,0.0208,0.0187,0.0196,0.0304,0.0151,0.0171,0.02361
0.0506,0.2987,0.0241,0.032,0.0305,0.0244,0.0273,0.0545,0.02,0.0215,0.05836
0.8726,1.3839,0.908,0.6232,0.493,0.7653,0.4802,0.6902,0.2769,0.3449,0.68382
0.8944,2.3142,1.4397,1.1446,1.507,0.7836,1.7828,1.4223,1.0233,1.4222,1.37341
1.5424,2.3835,2.0995,1.5536,1.6904,1.0895,1.4459,2.1618,1.209,0.9549,1.61305
1.0753,3.7537,2.5026,1.56,2.1843,1.0441,1.2694,1.7014,0.9206,1.3757,1.73871
1.0808,3.0229,3.1843,2.1083,2.422,1.0533,1.8407,2.6919,1.0117,1.5786,1.99945
1.4526,4.2122,3.1688,2.4644,2.5129,1.0022,1.4416,1.7102,1.5463,1.4748,2.0986
1.2677,2.7863,2.7568,1.9943,2.2022,0.802,2.1499,1.8679,1.1769,1.2608,1.82648
1.4576,4.2339,3.1204,1.9758,2.2441,1.2888,2.292,2.3925,1.7387,1.3984,2.21422
