0.0371,0.0263,0.0284,0.038,0.0215,0.0209,0.0282,0.0273,0.0277,0.0366,0.0292
0.1195,0.2606,0.0343,0.0558,0.0377,0.0228,0.045,0.2398,0.065,0.0323,0.09128
0.5706,0.5399,0.3245,0.2799,0.1062,0.0349,0.0644,0.4537,0.038,0.0326,0.24447
0.6609,0.9361,0.4616,0.536,0.7578,0.0434,0.0806,0.7356,0.1387,0.1331,0.44838
0.8245,0.9027,0.5478,0.7822,1.1774,0.1062,0.4607,0.8897,0.3079,0.1621,0.61612
0.9989,0.9601,0.6152,1.3945,1.4435,0.4064,0.8676,0.8521,0.3114,0.4492,0.82989
0.8032,1.15,0.6722,0.9048,1.8826,0.6929,1.2715,0.9589,0.3732,0.3539,0.90632
0.9328,1.4989,0.4096,2.3765,2.3209,1.6284,1.3286,0.9225,0.8216,0.3145,1.25543
0.9712,1.2968,0.4768,1.8976,2.8221,1.5184,1.4009,0.7363,1.4241,0.7505,1.32947
0.9672,1.5965,1.0612,1.7102,2.711,1.6234,1.6454,0.5639,1.2749,0.5108,1.36645
