0.0288,0.0275,0.019,0.0207,0.0185,0.0236,0.0218,0.028,0.027,0.0195,0.02344
0.0392,0.0799,0.0232,0.0298,0.029,0.026,0.0369,0.047,0.0351,0.0192,0.03653
0.5709,0.6068,0.1256,0.3558,0.3744,0.0291,0.0968,0.9737,0.0406,0.028,0.32017
0.9983,1.3845,0.6831,0.8884,0.8829,0.1009,0.3347,0.8289,0.1356,0.0288,0.62661
1.5847,1.3379,0.668,1.2688,1.9815,0.8512,0.7773,1.2088,0.4846,0.0286,1.01914
1.7608,1.3855,0.8049,1.719,2.0478,0.9729,1.0397,0.8705,0.7039,0.658,1.1963
2.2092,1.5462,0.6712,2.2005,1.9317,0.8455,1.6718,1.2387,0.5433,0.7419,1.36
2.2672,1.6343,1.2173,1.4939,2.6325,1.5625,1.3692,1.3399,1.1803,0.6489,1.5346
2.0187,2.0921,1.0585,2.2147,2.9971,2.019,2.5115,1.0926,0.88,0.7475,1.76317
2.207,2.0406,1.6386,1.8467,2.6163,2.36,2.3957,0.7276,1.2529,0.6508,1.77362
